node,type,x,y,earliest_time,latest_time,is_loading,waiting_time,is_charging,P
D0,Depot,0.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D1,Depot,5000.0,0.0,0.0,28800.0,1.0,600.0,1.0,
D2,Depot,5000.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
D3,Depot,0.0,5000.0,0.0,28800.0,1.0,600.0,1.0,
CS0,ChargingStation,1250.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS1,ChargingStation,3750.0,1443.0,0.0,28800.0,0.0,600.0,1.0,
CS2,ChargingStation,1250.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS3,ChargingStation,3750.0,2886.0,0.0,28800.0,0.0,600.0,1.0,
CS4,ChargingStation,2500.0,721.0,0.0,28800.0,0.0,600.0,1.0,
CS5,ChargingStation,2500.0,3608.0,0.0,28800.0,0.0,600.0,1.0,
C0,Customer,2071.0,819.0,9830.0,28800.0,-1.0,600.0,0.0,
C1,Customer,4551.0,1835.0,519.0,10436.0,-1.0,600.0,0.0,
C2,Customer,2047.0,1411.0,2711.0,20583.0,-1.0,600.0,0.0,
C3,Customer,3482.0,3433.0,0.0,11913.0,-1.0,600.0,0.0,
C4,Customer,3395.0,3124.0,16291.0,28800.0,-1.0,600.0,0.0,
C5,Customer,2744.0,4568.0,0.0,13978.0,-1.0,600.0,0.0,
C6,Customer,4738.0,4100.0,15370.0,28800.0,-1.0,600.0,0.0,
C7,Customer,3589.0,4634.0,8561.0,15809.0,-1.0,600.0,0.0,
C8,Customer,737.0,4260.0,15855.0,28800.0,-1.0,600.0,0.0,
C9,Customer,360.0,3758.0,1513.0,12981.0,-1.0,600.0,0.0,
BS0,BaseStation,0.0,0.0,,,,,,46.0
BS1,BaseStation,2500.0,0.0,,,,,,46.0
BS2,BaseStation,5000.0,0.0,,,,,,46.0
BS3,BaseStation,1250.0,2165.0,,,,,,46.0
BS4,BaseStation,3750.0,2165.0,,,,,,46.0
BS5,BaseStation,0.0,4330.0,,,,,,46.0
BS6,BaseStation,2500.0,4330.0,,,,,,46.0
BS7,BaseStation,5000.0,4330.0,,,,,,46.0
